zinc_id,smiles
ZINC000000000038,CC[C@](C)(CN(C)C)OC(=O)c1ccccc1
ZINC000000000052,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
ZINC000000000053,CC(=O)Oc1ccccc1C(=O)O
ZINC000000000076,O=C(c1ccccc1)[C@@H](O)c1ccccc1
ZINC000000000122,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1
ZINC000000000151,C[C@@H]([C@@H](O)c1ccccc1)N(C)C/C=C/c1ccccc1
ZINC000000000166,C[C@H](CN(C)C)[C@](C)(O)Cc1ccc(Cl)cc1
ZINC000000000199,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCC1
ZINC000000000344,C[C@@H](I)[C@H]1OC[C@H](CO)O1
ZINC000000000353,COc1ccccc1OC[C@H](O)CO
ZINC000000000387,CCc1ccc(C(=O)[C@H](C)CN2CCCC2)cc1
ZINC000000000407,C[C@H](N[C@H](C)COc1ccccc1)[C@@H](O)c1ccc(O)cc1
ZINC000000000416,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1
ZINC000000000417,CCOc1ccc(NC(=O)[C@@H](C)O)cc1
ZINC000000000450,Cc1ccccc1OC[C@H](O)CO
ZINC000000000565,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1
ZINC000000000602,CCOc1ccc(NC(C)=O)cc1
ZINC000000000633,OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCCN1
ZINC000000000688,C=C[C@@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
ZINC000000000853,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
ZINC000000000949,COc1ccc(-c2cc(=S)ss2)cc1
ZINC000000000984,CCN(CC)C(=O)CSc1ccc(Cl)nn1
ZINC000000001011,O=C(O)c1ccccc1
ZINC000000001041,CC[N+](C)(C)Cc1ccccc1Br
ZINC000000001084,Cn1c(=O)c2c(ncn2C)n(C)c1=O
ZINC000000001091,CCOC(=O)n1ccn(C)c1=S
ZINC000000001100,C[C@H](N)[C@@H](O)c1ccccc1
ZINC000000001117,O=C(C(Cl)Cl)N(CCO)Cc1ccc(Cl)cc1Cl
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21
ZINC000000001195,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O
ZINC000000001212,COC(=O)[C@@H]1[C@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
ZINC000000001219,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
ZINC000000001281,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
ZINC000000001287,CCOC(=O)c1ccccc1C(=O)OCC
ZINC000000001331,CN(C)CC/C=C1\c2ccccc2COc2ccccc21
ZINC000000001341,CC[N+](C)(C)c1cccc(O)c1
ZINC000000001504,O=C(O)c1cc(O)c(O)c(O)c1
ZINC000000001554,O=C(O)c1ccccc1O
