canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,7.39,IC50,nM,41.0,IC50,uM,0.041
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,7.39,IC50,nM,41.0,IC50,uM,0.041
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,6.77,IC50,nM,170.0,IC50,uM,0.17
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL137635,5.03,IC50,nM,9300.0,IC50,uM,9.3
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL306988,,IC50,nM,500000.0,IC50,uM,500.0
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL306988,,Ki,nM,,Ki,uM,
O=C(O)/C=C/c1ccc(O)cc1,CHEMBL66879,,IC50,nM,3000000.0,IC50,uM,3000.0
O=C(O)/C=C/c1ccc(O)cc1,CHEMBL66879,,Ki,nM,1000000.0,Ki,uM,1000.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,4.02,IC50,nM,96000.0,IC50,uM,96.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,4.62,Ki,nM,24000.0,Ki,uM,24.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL443268,5.28,IC50,nM,5310.0,IC50,uM,5.31
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,CHEMBL76979,,IC50,nM,264000.0,IC50,uM,264.0
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,CHEMBL76979,,Ki,nM,700000.0,Ki,uM,700.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,6.9,IC50,nM,125.0,IC50,uM,0.125
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,,Ki,nM,,Ki,uM,
COc1cc(C=C(C#N)C#N)cc(OC)c1,CHEMBL77724,,IC50,nM,1250000.0,IC50,uM,1250.0
COc1cc(C=C(C#N)C#N)cc(OC)c1,CHEMBL77724,,Ki,nM,400000.0,Ki,uM,400.0
N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,CHEMBL420385,,IC50,nM,625000.0,IC50,uM,625.0
N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,CHEMBL420385,,Ki,nM,250000.0,Ki,uM,250.0
N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL76904,4.46,IC50,nM,35000.0,IC50,uM,35.0
N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL76904,4.96,Ki,nM,11000.0,Ki,uM,11.0
