molecule_chembl_id,std_smiles,standard_type,IC50_nM,n_mediciones,pActividad,activo,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,lipinski_ok,es_pains,razon_pains
CHEMBL3416599,Brc1cc2c(NCc3ccccc3)ncnc2s1,IC50,241.0,1,6.617982957425131,1,320.22,4.07,1,4,37.81,3,0.79,True,False,
CHEMBL3416616,Brc1cc2c(NCc3ccccn3)ncnc2s1,IC50,7904.0,1,5.102153068420428,0,321.2,3.46,1,5,50.7,3,0.803,True,False,
CHEMBL3416615,Brc1cc2c(NCc3cccnc3)ncnc2s1,IC50,10000.0,1,5.0,0,321.2,3.46,1,5,50.7,3,0.803,True,False,
CHEMBL3416619,Brc1cc2c(NCc3cccs3)ncnc2s1,IC50,1374.0,1,5.862013267276468,0,326.24,4.13,1,5,37.81,3,0.786,True,False,
CHEMBL3416614,Brc1cc2c(NCc3ccncc3)ncnc2s1,IC50,3883.0,1,5.410832609453951,0,321.2,3.46,1,5,50.7,3,0.803,True,False,
CHEMBL3416440,Brc1cc2c(Nc3cccc(OCc4ccccc4)c3)ncnc2s1,IC50,10000.0,1,5.0,0,412.31,5.78,1,5,47.04,5,0.452,True,False,
CHEMBL3416621,Brc1cc2c(Nc3ccccc3)ncnc2s1,IC50,80.0,1,7.096910013008055,1,306.19,4.2,1,4,37.81,2,0.771,True,False,
CHEMBL2325098,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,IC50,710.0,1,6.1487416512809245,1,427.35,6.96,0,2,15.6,3,0.345,True,False,
CHEMBL2325091,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,IC50,490.0,1,6.309803919971485,1,427.35,6.96,0,2,15.6,3,0.345,True,False,
CHEMBL1821878,Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,IC50,8950.0,1,5.048176964684088,0,539.3,7.69,0,4,28.49,4,0.266,False,False,
CHEMBL1928712,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,IC50,3130.0,1,5.504455662453551,0,484.2,6.51,2,4,49.84,5,0.339,True,False,
CHEMBL1994074,Brc1ccc2[nH]nc(-c3ccccc3)c2c1,Ki,1995.26,1,5.7000005038830155,0,273.13,3.99,1,1,28.68,1,0.713,True,False,
CHEMBL1995172,Brc1ccc2c(c1)-c1[nH]ncc1C2,Ki,10000.0,1,5.0,0,235.08,2.74,1,1,28.68,0,0.637,True,False,
CHEMBL381306,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,IC50,6000.0,1,5.221848749616356,0,383.25,4.57,2,5,59.07,3,0.694,True,False,
CHEMBL382862,Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,IC50,10000.0,1,5.0,0,369.22,4.7,2,5,59.07,2,0.686,True,False,
CHEMBL554983,Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1,IC50,72.0,1,7.14266750356873,1,339.2,4.57,2,3,53.6,2,0.562,True,False,
CHEMBL423224,Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,IC50,31.0,1,7.508638306165727,1,339.2,4.57,2,3,53.6,2,0.562,True,False,
CHEMBL37346,Brc1cccc(Nc2ccnc3ccccc23)c1,IC50,5500.0,1,5.259637310505755,0,299.17,4.74,1,2,24.92,2,0.739,True,False,
CHEMBL118482,Brc1cccc(Nc2cnnc3ccccc23)c1,IC50,10000.0,1,5.0,0,300.16,4.14,1,3,37.81,2,0.773,True,False,
CHEMBL72393,Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,IC50,46.0,1,7.337242168318426,1,343.23,4.34,2,3,53.6,2,0.728,True,False,
CHEMBL5181237,Brc1cccc(Nc2ncnc3[nH]ccc23)c1,IC50,3.0,1,8.522878745280337,1,289.14,3.46,2,3,53.6,2,0.759,True,False,
CHEMBL383614,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,IC50,1000.0,1,5.999999999999999,0,448.12,5.46,2,5,59.07,2,0.545,True,False,
CHEMBL203219,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,IC50,3400.0,1,5.468521082957744,0,369.22,4.7,2,5,59.07,2,0.686,True,False,
CHEMBL5198809,Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,IC50,72.0,1,7.14266750356873,1,339.2,4.62,2,3,53.6,2,0.56,True,False,
CHEMBL155100,Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,IC50,272.0,1,6.565431095965801,1,340.18,4.01,2,4,66.49,2,0.579,True,False,
CHEMBL149512,Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,IC50,740.0,1,6.130768280269024,1,340.18,4.88,1,4,50.95,2,0.565,True,False,
CHEMBL356850,Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,IC50,1.8,1,8.744727494896694,1,356.25,5.35,1,4,37.81,2,0.526,True,False,
CHEMBL153409,Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,IC50,732.0,1,6.135488918941608,1,357.24,4.75,1,5,50.7,2,0.563,True,False,
CHEMBL346863,Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1,IC50,40.0,1,7.3979400086720375,1,363.27,4.81,1,6,50.7,2,0.555,True,False,
CHEMBL126384,Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,IC50,5.37,1,8.270025714300443,1,457.38,4.06,2,7,75.2,8,0.495,True,False,
