Ranking,molecule_chembl_id,std_smiles,pActividad,standard_type,vina_score,vina_norm,prolif_sim,score_final
1,CHEMBL285445,CN(CC#CC#CC(C)(C)O)c1cccc2c1CCC(=O)N2,6.671620396561262,IC50,-7.869,0.8515081206496515,0.47815235277275425,0.6648302367112029
2,CHEMBL35306,C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,5.494850021680094,IC50,-7.931,0.8874709976798143,0.411351188291349,0.6494110929855816
3,CHEMBL36446,CCN(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,9.045757490560675,IC50,-7.513,0.6450116009280742,0.4697332315673399,0.5573724162477071
4,CHEMBL32780,CN(CC#CC#CC(C)(C)C)c1cccc2c1CC(N)C(=O)N2,7.9100948885606,IC50,-7.494,0.63399071925754,0.46063009895235485,0.5473104091049474
5,CHEMBL36409,CN(CC#CC#CC(C)(C)C)c1cccc2c1CCC(=O)N2,9.853871964321762,IC50,-7.424,0.5933874709976803,0.49974801244482936,0.5465677417212549
6,CHEMBL36240,CCCCCN(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,8.958607314841773,IC50,-7.313,0.5290023201856147,0.551123247501697,0.5400627838436558
7,CHEMBL35735,CC(C)N(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,8.9100948885606,IC50,-7.292,0.516821345707656,0.5431962111802152,0.5300087784439356
8,CHEMBL285056,CCCCN(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,9.455931955649724,IC50,-7.396,0.5771461716937352,0.4697332315673399,0.5234397016305375
9,CHEMBL443517,CN(Cc1ccc(C#CC(C)(C)C)cc1)c1cccc2c1CCC(=O)N2,8.14146280243036,IC50,-8.125,0.9999999999999996,0.0,0.4999999999999998
10,CHEMBL35516,CC(C)(C)C#C/C=C/CNc1cccc2c1CCC(=O)N2,7.149353764816933,IC50,-7.488,0.6305104408352666,0.3477651913832549,0.48913781610926077
11,CHEMBL287375,CN(CC#CC#CC(C)(C)C)c1cccc2c1CC(O)C(=O)N2,8.522878745280337,IC50,-7.342,0.5458236658932711,0.4179342648200821,0.4818789653566766
12,CHEMBL32687,CC(C)(C)C#C/C=C/CN(c1cccc2c1CCC(=O)N2)S(C)(=O)=O,6.407823242604133,IC50,-7.268,0.5029002320185616,0.4388051119032471,0.47085267196090436
13,CHEMBL265094,CC(C)(C)C#C/C=C/CNc1cccc2nc(O)ccc12,7.154901959985742,IC50,-7.165,0.4431554524361947,0.49078252768476116,0.46696899006047793
14,CHEMBL32495,COC(C)(C)C#CC#CCN(C)c1cccc2c1CCC(=O)N2,5.986741334716483,IC50,-7.252,0.4936194895591641,0.4124167387965747,0.4530181141778694
15,CHEMBL416596,CC(=O)N(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,6.110698297493689,IC50,-7.233,0.48259860788863085,0.40210334791451663,0.44235097790157374
16,CHEMBL4786444,CC(C)(C)C#CC=CCNc1cccc2[nH]c(=O)ccc12,6.200659450546417,Ki,-7.353,0.5522041763341066,0.3158986990228223,0.43405143767846444
17,CHEMBL35760,CN(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,8.55752023093555,IC50,-7.042,0.3718097447795823,0.49008359800714796,0.4309466713933651
18,CHEMBL1791436,CCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C(=O)O)[C@H]1O[C@@H](n2cc(C(=O)O)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O)C(O)C(O)COC(N)=O,5.145693958198919,Ki,-7.68,0.7418793503480274,0.1085654834268388,0.4252224168874331
19,CHEMBL4741395,CN(CC#CC#CC(C)(C)C)c1cccc2c1OCC(=O)N2,9.259637310505756,Ki,-7.197,0.46171693735498875,0.33598993265561927,0.398853435005304
20,CHEMBL287110,CC(C)(C)C#C/C=C/CN(Cc1ccccc1)c1cccc2c1CCC(=O)N2,7.267606240177031,IC50,-7.732,0.772041763341067,0.0,0.3860208816705335
21,CHEMBL36445,CCCN(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,9.167491087293762,IC50,-7.032,0.3660092807424591,0.33598993265561927,0.3509996066990392
22,CHEMBL422402,CC(C)(C)C#C/C=C/CNc1cccc2ncccc12,5.346787486224656,IC50,-6.958,0.32308584686774955,0.34880503261600326,0.3359454397418764
23,CHEMBL35671,CCC#CC#CCN(C)c1cccc2c1CCC(=O)N2,8.103473782510443,IC50,-6.63,0.132830626450116,0.4413995992173546,0.2871151128337353
24,CHEMBL1791178,NC(=O)OCC(O)C(O)C(N)C(=O)NC(C(=O)O)[C@H]1O[C@@H](n2cc(C(=O)O)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,6.229147988357855,Ki,-7.046,0.3741299303944312,0.16075929026156022,0.2674446103279957
25,CHEMBL34818,CC(C)[C@@H](N)C(=O)OC1Cc2c(cccc2N(C)CC#CC#CC(C)(C)C)NC1=O,7.826813731587726,IC50,-6.981,0.33642691415313175,0.0,0.16821345707656588
26,CHEMBL32125,CCOP(=O)(OCC)OC1Cc2c(cccc2N(C)CC#CC#CC(C)(C)C)NC1=O,9.119186407719207,IC50,-6.792,0.2267981438515081,0.0,0.11339907192575405
27,CHEMBL412808,CN(C/C=C\C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,7.8794260687941495,IC50,-6.636,0.13631090487238984,0.0,0.06815545243619492
28,CHEMBL35365,CC(=O)Nc1cccc(NC/C=C/C#CC(C)(C)C)c1,5.999999999999999,IC50,-6.598,0.1142691415313224,0.0,0.0571345707656612
29,CHEMBL35895,CN(CCCC#CC(C)(C)C)c1cccc2c1CCC(=O)N2,8.048176964684087,IC50,-6.401,0.0,0.0,0.0
