molecule_chembl_id,std_smiles,standard_type,IC50_nM,pActividad,activo,scaffold,MW,QED
CHEMBL3416599,Brc1cc2c(NCc3ccccc3)ncnc2s1,IC50,241.0,6.617982957425131,1,c1ccc(CNc2ncnc3sccc23)cc1,320.22,0.79
CHEMBL3416616,Brc1cc2c(NCc3ccccn3)ncnc2s1,IC50,7904.0,5.102153068420428,0,c1ccc(CNc2ncnc3sccc23)nc1,321.2,0.803
CHEMBL3416615,Brc1cc2c(NCc3cccnc3)ncnc2s1,IC50,10000.0,5.0,0,c1cncc(CNc2ncnc3sccc23)c1,321.2,0.803
CHEMBL3416619,Brc1cc2c(NCc3cccs3)ncnc2s1,IC50,1374.0,5.862013267276468,0,c1csc(CNc2ncnc3sccc23)c1,326.24,0.786
CHEMBL3416614,Brc1cc2c(NCc3ccncc3)ncnc2s1,IC50,3883.0,5.410832609453951,0,c1cc(CNc2ncnc3sccc23)ccn1,321.2,0.803
CHEMBL3416440,Brc1cc2c(Nc3cccc(OCc4ccccc4)c3)ncnc2s1,IC50,10000.0,5.0,0,c1ccc(COc2cccc(Nc3ncnc4sccc34)c2)cc1,412.31,0.452
CHEMBL3416621,Brc1cc2c(Nc3ccccc3)ncnc2s1,IC50,80.0,7.096910013008055,1,c1ccc(Nc2ncnc3sccc23)cc1,306.19,0.771
CHEMBL2325098,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,IC50,710.0,6.1487416512809245,1,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,427.35,0.345
CHEMBL2325091,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,IC50,490.0,6.309803919971485,1,c1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,427.35,0.345
CHEMBL1821878,Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,IC50,8950.0,5.048176964684088,0,c1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccccc3)C2)cc1,539.3,0.266
CHEMBL1928712,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,IC50,3130.0,5.504455662453551,0,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,484.2,0.339
CHEMBL1994074,Brc1ccc2[nH]nc(-c3ccccc3)c2c1,Ki,1995.26,5.700000503883016,0,c1ccc(-c2n[nH]c3ccccc23)cc1,273.13,0.713
CHEMBL1995172,Brc1ccc2c(c1)-c1[nH]ncc1C2,Ki,10000.0,5.0,0,c1ccc2c(c1)Cc1cn[nH]c1-2,235.08,0.637
CHEMBL381306,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,IC50,6000.0,5.221848749616356,0,c1ccc(CNc2ncnc3c2NCc2ccccc2O3)cc1,383.25,0.694
CHEMBL382862,Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,IC50,10000.0,5.0,0,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,369.22,0.686
CHEMBL554983,Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1,IC50,72.0,7.14266750356873,1,c1ccc(Nc2[nH]cnc3c4ccccc4nc2-3)cc1,339.2,0.562
CHEMBL423224,Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,IC50,31.0,7.508638306165727,1,c1ccc(Nc2[nH]cnc3nc4ccccc4c2-3)cc1,339.2,0.562
CHEMBL37346,Brc1cccc(Nc2ccnc3ccccc23)c1,IC50,5500.0,5.259637310505755,0,c1ccc(Nc2ccnc3ccccc23)cc1,299.17,0.739
CHEMBL118482,Brc1cccc(Nc2cnnc3ccccc23)c1,IC50,10000.0,5.0,0,c1ccc(Nc2cnnc3ccccc23)cc1,300.16,0.773
CHEMBL72393,Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,IC50,46.0,7.337242168318426,1,c1ccc(Nc2ncnc3[nH]c4c(c23)CCCC4)cc1,343.23,0.728
CHEMBL5181237,Brc1cccc(Nc2ncnc3[nH]ccc23)c1,IC50,3.0,8.522878745280337,1,c1ccc(Nc2ncnc3[nH]ccc23)cc1,289.14,0.759
CHEMBL383614,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,IC50,1000.0,5.999999999999999,0,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,448.12,0.545
CHEMBL203219,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,IC50,3400.0,5.468521082957744,0,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,369.22,0.686
CHEMBL5198809,Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,IC50,72.0,7.14266750356873,1,c1ccc(Nc2ncnc3c2[nH]c2ccccc23)cc1,339.2,0.56
CHEMBL155100,Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,IC50,272.0,6.565431095965801,1,c1ccc(Nc2ncnc3c2ccc2[nH]cnc23)cc1,340.18,0.579
CHEMBL149512,Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,IC50,740.0,6.130768280269024,1,c1ccc(Nc2ncnc3c2oc2ccccc23)cc1,340.18,0.565
CHEMBL356850,Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,IC50,1.8,8.744727494896694,1,c1ccc(Nc2ncnc3c2sc2ccccc23)cc1,356.25,0.526
CHEMBL153409,Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,IC50,732.0,6.135488918941608,1,c1ccc(Nc2ncnc3c2sc2ncccc23)cc1,357.24,0.563
CHEMBL346863,Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1,IC50,40.0,7.397940008672037,1,c1ccc(Nc2ncnc3c2sc2ncsc23)cc1,363.27,0.555
CHEMBL126384,Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,IC50,5.37,8.270025714300443,1,c1ccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)cc1,457.38,0.495
CHEMBL126623,Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,IC50,1.9,8.72124639904717,1,c1ccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)cc1,443.35,0.54
CHEMBL126791,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,IC50,0.51,9.292429823902063,1,c1ccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)cc1,424.31,0.433
CHEMBL128987,Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,IC50,3.2,8.494850021680094,1,c1ccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)cc1,429.32,0.623
CHEMBL338114,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,IC50,0.91,9.040958607678906,1,c1ccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)cc1,410.28,0.447
