pref_name,target_chembl_id,target_type
Maltase-glucoamylase,CHEMBL2074,SINGLE PROTEIN
Maltase-glucoamylase,CHEMBL2074,SINGLE PROTEIN
ATP-binding cassette sub-family C member 9,CHEMBL1971,SINGLE PROTEIN
"cGMP-specific 3',5'-cyclic phosphodiesterase",CHEMBL1827,SINGLE PROTEIN
Voltage-dependent T-type calcium channel subunit alpha-1H,CHEMBL1859,SINGLE PROTEIN
Dihydrofolate reductase,CHEMBL202,SINGLE PROTEIN
Tyrosine-protein kinase ABL1,CHEMBL1862,SINGLE PROTEIN
Epidermal growth factor receptor,CHEMBL203,SINGLE PROTEIN
Prothrombin,CHEMBL204,SINGLE PROTEIN
Plasminogen,CHEMBL1801,SINGLE PROTEIN
Adenosine deaminase,CHEMBL1910,SINGLE PROTEIN
Carbonic anhydrase 2,CHEMBL205,SINGLE PROTEIN
Antithrombin-III,CHEMBL1950,SINGLE PROTEIN
"Troponin C, slow skeletal and cardiac muscles",CHEMBL2066,SINGLE PROTEIN
Estrogen receptor,CHEMBL206,SINGLE PROTEIN
Plasma kallikrein,CHEMBL2000,SINGLE PROTEIN
3-hydroxy-3-methylglutaryl-coenzyme A reductase,CHEMBL402,SINGLE PROTEIN
Glucocorticoid receptor,CHEMBL2034,SINGLE PROTEIN
Thymidylate synthase,CHEMBL1952,SINGLE PROTEIN
Sodium/potassium-transporting ATPase subunit alpha-1,CHEMBL1807,SINGLE PROTEIN
"Aldehyde dehydrogenase, mitochondrial",CHEMBL1935,SINGLE PROTEIN
Integrin beta-3,CHEMBL207,SINGLE PROTEIN
"Cholesterol side-chain cleavage enzyme, mitochondrial",CHEMBL2033,SINGLE PROTEIN
Tubulin beta-4B chain,CHEMBL1848,SINGLE PROTEIN
Integrin beta-1,CHEMBL1905,SINGLE PROTEIN
Insulin receptor,CHEMBL1981,SINGLE PROTEIN
Progesterone receptor,CHEMBL208,SINGLE PROTEIN
Epoxide hydrolase 1,CHEMBL1968,SINGLE PROTEIN
Tyrosine 3-monooxygenase,CHEMBL1969,SINGLE PROTEIN
Thyroid peroxidase,CHEMBL1839,SINGLE PROTEIN
Alcohol dehydrogenase 1A,CHEMBL1970,SINGLE PROTEIN
Serine protease 1,CHEMBL209,SINGLE PROTEIN
Beta-2 adrenergic receptor,CHEMBL210,SINGLE PROTEIN
Muscarinic acetylcholine receptor M2,CHEMBL211,SINGLE PROTEIN
Mineralocorticoid receptor,CHEMBL1994,SINGLE PROTEIN
Integrin alpha-IIb,CHEMBL212,SINGLE PROTEIN
Beta-1 adrenergic receptor,CHEMBL213,SINGLE PROTEIN
5-hydroxytryptamine receptor 1A,CHEMBL214,SINGLE PROTEIN
Alpha-2A adrenergic receptor,CHEMBL1867,SINGLE PROTEIN
DNA polymerase alpha catalytic subunit,CHEMBL1828,SINGLE PROTEIN
